species;var;State;latitude;longitude;Data
Picea jezoensis;;RU;55.33751;159.44472;GBIF
Picea jezoensis;;JP;35.36055;138.72778;GBIF
Picea jezoensis;;RU;54.60351;127.48017;GBIF
Picea jezoensis;;RU;56.89859;159.69238;GBIF
Picea jezoensis;;RU;51;143;GBIF
Picea jezoensis;;RU;44.122;145.854;GBIF
Picea jezoensis;;RU;52.17902;141.50488;GBIF
Picea jezoensis;;JP;41.28773;141.22336;GBIF
Picea jezoensis;;JP;43.0621;141.35437;GBIF
Picea jezoensis;;JP;40.6025;140.42555;GBIF
Picea jezoensis;;JP;42.98486;144.38136;GBIF
Picea jezoensis;;JP;42.99352;144.39331;GBIF
Picea jezoensis;;JP;43.05;141.35;GBIF
Picea jezoensis;;JP;42.88334;140.65;GBIF
Picea jezoensis;;JP;35.43333;139.63333;GBIF
Picea jezoensis;;RU;51;143;GBIF
Picea jezoensis;;JP;41.7794;140.7364;GBIF
Picea jezoensis;;JP;43.0475;141.3555;GBIF
Picea jezoensis;jezoensis;JP;43.451659;144.097165;GBIF
Picea jezoensis;hondoensis;JP;35.548333;138.118889;GBIF
Picea jezoensis;jezoensis;JP;45.138889;142.109444;GBIF
Picea jezoensis;jezoensis;JP;45.138889;142.109444;GBIF
Picea jezoensis;jezoensis;JP;45.245251;141.20981;GBIF
Picea jezoensis;;JP;35.42436;138.84895;GBIF
Picea jezoensis;hondoensis;JP;35.63319;138.6608;GBIF
Picea jezoensis;hondoensis;JP;36.77835;140.36012;GBIF
Picea jezoensis;hondoensis;JP;36.40683;137.71276;GBIF
Picea jezoensis;hondoensis;JP;35.87229;137.50069;GBIF
Picea jezoensis;;JP;36.226111;140.102778;GBIF
Picea jezoensis;;JP;36.226111;140.102778;GBIF
Picea jezoensis;;JP;36.226111;140.102778;GBIF
Picea jezoensis;;JP;36.249274;137.637899;GBIF
Picea jezoensis;;JP;36.226111;140.102778;GBIF
Picea jezoensis;;JP;42.950305;141.152419;GBIF
Picea jezoensis;;JP;35.374108;139.540546;GBIF
Picea jezoensis;;JP;43.333333;142.616667;GBIF
Picea jezoensis;;JP;43.433333;144.1;GBIF
Picea jezoensis;;JP;43.433333;144.1;GBIF
Picea jezoensis;;JP;43.366667;142.383333;GBIF
Picea jezoensis;;JP;43.366667;142.383333;GBIF
Picea jezoensis;;JP;45.016667;141.916667;GBIF
Picea jezoensis;;CN;42.333333;128.116667;GBIF
Picea jezoensis;;CN;42.3;128.083333;GBIF
Picea jezoensis;;CN;42.3;128.083333;GBIF
Picea jezoensis;;CN;42.083333;128.166667;GBIF
Picea jezoensis;;JP;44.4;142.2;GBIF
Picea jezoensis;;CN;41.75;128.03333;GBIF
Picea jezoensis;;Kamch;54.888517;158.941806;EXPERT
Picea jezoensis;;Kamch;54.967575;159.029616;EXPERT
Picea jezoensis;;Kamch;54.901302;159.049786;EXPERT
Picea jezoensis;;Kamch;54.930397;159.055983;EXPERT
Picea jezoensis;;Kamch;54.965919;159.083449;EXPERT
Picea jezoensis;;Kamch;54.99603;159.171683;EXPERT
Picea jezoensis;;Kamch;54.995241;159.027315;EXPERT
Picea jezoensis;;Kamch;55.093355;159.091829;EXPERT
Picea jezoensis;;Kamch;55.149234;158.884119;EXPERT
Picea jezoensis;;Kamch;55.182056;158.594338;EXPERT
Picea jezoensis;;Kamch;55.267326;158.387143;EXPERT
Picea jezoensis;;Kamch;55.263798;158.477947;EXPERT
Picea jezoensis;;Kamch;55.259681;158.634158;EXPERT
Picea jezoensis;;Kamch;55.266739;158.848564;EXPERT
Picea jezoensis;;Kamch;55.283791;158.977996;EXPERT
Picea jezoensis;;Kamch;55.456036;158.912037;EXPERT
Picea jezoensis;;Kamch;55.507239;159.246848;EXPERT
Picea jezoensis;;Kamch;55.594971;158.893591;EXPERT
Picea jezoensis;;Kamch;55.647815;159.217344;EXPERT
Picea jezoensis;;Kamch;55.745311;159.217651;EXPERT
Picea jezoensis;;Kamch;55.799498;159.194648;EXPERT
Picea jezoensis;;Kamch;55.902775;159.265974;EXPERT
Picea jezoensis;;Kamch;55.81818;159.496398;EXPERT
Picea jezoensis;;Kamch;56.024903;159.941555;EXPERT
Picea jezoensis;;Kamch;56.104321;160.10532;EXPERT
Picea jezoensis;;Kamch;56.046546;160.170922;EXPERT
Picea jezoensis;;Kamch;55.107659;159.559252;EXPERT
Picea jezoensis;;Kamch;55.113908;159.732372;EXPERT
Picea jezoensis;;Kamch;55.19377;159.772867;EXPERT
Picea jezoensis;;Kamch;55.276328;159.881647;EXPERT
Picea jezoensis;;Kamch;55.263606;159.790494;EXPERT
Picea jezoensis;;Kamch;55.240597;159.705329;EXPERT
Picea jezoensis;;Kamch;55.31117;159.638137;EXPERT
Picea jezoensis;;Kamch;55.323529;159.435857;EXPERT
Picea jezoensis;;Kamch;55.387961;159.635688;EXPERT
Picea jezoensis;;Kamch;55.408762;159.487785;EXPERT
Picea jezoensis;;Kamch;55.436508;159.875659;EXPERT
Picea jezoensis;;Kamch;55.437063;160.004194;EXPERT
Picea jezoensis;;Kamch;55.676387;159.805642;EXPERT
Picea jezoensis;;Kamch;55.356585;159.404931;EXPERT
Picea jezoensis;;Kamch;55.567469;159.018249;EXPERT
Picea jezoensis;;Kamch;55.578653;159.261321;EXPERT
Picea jezoensis;;Sakh;46.07483;143.432775;EXPERT
Picea jezoensis;;Sakh;46.252127;143.499377;EXPERT
Picea jezoensis;;Sakh;46.325606;143.386757;EXPERT
Picea jezoensis;;Sakh;46.320848;143.546746;EXPERT
Picea jezoensis;;Sakh;46.395844;143.471387;EXPERT
Picea jezoensis;;Sakh;46.531427;143.383324;EXPERT
Picea jezoensis;;Sakh;46.632931;143.5004;EXPERT
Picea jezoensis;;Sakh;46.714933;143.394313;EXPERT
Picea jezoensis;;Sakh;46.796339;143.425899;EXPERT
Picea jezoensis;;Sakh;46.64179;142.911207;EXPERT
Picea jezoensis;;Sakh;46.898443;143.061582;EXPERT
Picea jezoensis;;Sakh;46.971815;142.81645;EXPERT
Picea jezoensis;;Sakh;46.779705;142.888033;EXPERT
Picea jezoensis;;Sakh;47.081683;142.94202;EXPERT
Picea jezoensis;;Sakh;47.34963;142.673051;EXPERT
Picea jezoensis;;Sakh;47.080987;142.581014;EXPERT
Picea jezoensis;;Sakh;46.04744;141.940363;EXPERT
Picea jezoensis;;Sakh;46.143697;142.200087;EXPERT
Picea jezoensis;;Sakh;46.409146;141.918661;EXPERT
Picea jezoensis;;Sakh;46.574836;141.857318;EXPERT
Picea jezoensis;;Sakh;46.646491;142.0674;EXPERT
Picea jezoensis;;Sakh;46.658755;142.329441;EXPERT
Picea jezoensis;;Sakh;46.773928;142.368665;EXPERT
Picea jezoensis;;Sakh;46.778292;141.940456;EXPERT
Picea jezoensis;;Sakh;46.909622;142.20121;EXPERT
Picea jezoensis;;Sakh;47.162766;142.154689;EXPERT
Picea jezoensis;;Sakh;47.292564;142.076583;EXPERT
Picea jezoensis;;Sakh;47.383801;142.489882;EXPERT
Picea jezoensis;;Sakh;47.476114;142.328911;EXPERT
Picea jezoensis;;Sakh;47.563112;142.296327;EXPERT
Picea jezoensis;;Sakh;47.645342;142.557523;EXPERT
Picea jezoensis;;Sakh;47.786261;142.151099;EXPERT
Picea jezoensis;;Sakh;48.047087;142.523261;EXPERT
Picea jezoensis;;Sakh;48.106217;142.226459;EXPERT
Picea jezoensis;;Sakh;48.214444;142.449778;EXPERT
Picea jezoensis;;Sakh;48.455716;142.101648;EXPERT
Picea jezoensis;;Sakh;48.579113;142.636939;EXPERT
Picea jezoensis;;Sakh;48.724999;142.264856;EXPERT
Picea jezoensis;;Sakh;48.816001;141.927027;EXPERT
Picea jezoensis;;Sakh;49.052974;142.256527;EXPERT
Picea jezoensis;;Sakh;49.116143;142.847;EXPERT
Picea jezoensis;;Sakh;49.013223;142.182031;EXPERT
Picea jezoensis;;Sakh;49.316197;144.178625;EXPERT
Picea jezoensis;;Sakh;49.495636;143.8254;EXPERT
Picea jezoensis;;Sakh;49.959714;143.986048;EXPERT
Picea jezoensis;;Sakh;50.066365;143.276989;EXPERT
Picea jezoensis;;Sakh;50.574411;143.688608;EXPERT
Picea jezoensis;;Sakh;50.595048;143.448069;EXPERT
Picea jezoensis;;Sakh;50.701405;143.405916;EXPERT
Picea jezoensis;;Sakh;50.686794;142.904236;EXPERT
Picea jezoensis;;Sakh;49.5133;142.165111;EXPERT
Picea jezoensis;;Sakh;49.63967;142.236005;EXPERT
Picea jezoensis;;Sakh;50.038906;142.354405;EXPERT
Picea jezoensis;;Sakh;50.186895;142.374212;EXPERT
Picea jezoensis;;Sakh;50.792702;142.434762;EXPERT
Picea jezoensis;;Sakh;51.322667;142.210256;EXPERT
Picea jezoensis;;Sakh;51.50244;142.348351;EXPERT
Picea jezoensis;;Sakh;51.574721;142.024354;EXPERT
Picea jezoensis;;Sakh;51.375568;143.08665;EXPERT
Picea jezoensis;;Sakh;50.448179;142.554191;EXPERT
Picea jezoensis;;Sakh;49.109474;142.431691;EXPERT
Picea jezoensis;;Sakh;49.631507;142.739094;EXPERT
Picea jezoensis;;Sakh;51.069997;143.408518;EXPERT
Picea jezoensis;;Sakh;50.10396;143.553131;EXPERT
Picea jezoensis;;Sakh;49.77571;143.707991;EXPERT
Picea jezoensis;;Sakh;49.054123;142.628225;EXPERT
Picea jezoensis;;Sakh;50.451931;142.101043;EXPERT
Picea jezoensis;;Sakh;50.570562;142.261714;EXPERT
Picea jezoensis;;Sakh;53.950058;142.790558;EXPERT
Picea jezoensis;;Sakh;53.765035;142.821275;EXPERT
Picea jezoensis;;Sakh;51.763714;142.812432;EXPERT
Picea jezoensis;;Sakh;52.778227;143.042726;EXPERT
Picea jezoensis;;Sakh;52.496141;142.851066;EXPERT
Picea jezoensis;;Sakh;53.126757;141.910114;EXPERT
Picea jezoensis;;Sakh;53.375519;141.94685;EXPERT
Picea jezoensis;;Sakh;53.042679;142.705266;EXPERT
Picea jezoensis;;Sakh;52.026687;142.721304;EXPERT
Picea jezoensis;;Sakh;52.061723;142.211213;EXPERT
Picea jezoensis;;Sakh;52.316096;142.12315;EXPERT
Picea jezoensis;;Sakh;54.302155;142.770721;EXPERT
Picea jezoensis;;Sakh;54.262366;142.373797;EXPERT
Picea jezoensis;;Sakh;54.156799;142.676755;EXPERT
Picea jezoensis;;Sakh;54.186619;142.532664;EXPERT
Picea jezoensis;;Itu;44.572902;146.959178;EXPERT
Picea jezoensis;;Itu;44.45489;146.884905;EXPERT
Picea jezoensis;;Itu;44.478496;146.974071;EXPERT
Picea jezoensis;;Itu;44.579368;147.098873;EXPERT
Picea jezoensis;;Itu;44.644249;147.124665;EXPERT
Picea jezoensis;;Itu;44.7785;147.177537;EXPERT
Picea jezoensis;;Itu;44.787761;147.459018;EXPERT
Picea jezoensis;;Itu;44.739046;147.29486;EXPERT
Picea jezoensis;;Itu;45.059345;147.557845;EXPERT
Picea jezoensis;;Itu;45.007466;147.742134;EXPERT
Picea jezoensis;;Kunas;44.479468;146.159467;EXPERT
Picea jezoensis;;Kunas;44.407947;146.065308;EXPERT
Picea jezoensis;;Kunas;44.395614;146.498718;EXPERT
Picea jezoensis;;Kunas;44.285531;146.235433;EXPERT
Picea jezoensis;;Kunas;44.233687;146.022659;EXPERT
Picea jezoensis;;Kunas;44.161172;145.900177;EXPERT
Picea jezoensis;;Kunas;44.136571;145.788369;EXPERT
Picea jezoensis;;Kunas;43.81213;145.560741;EXPERT
Picea jezoensis;;Kunas;43.899516;145.484523;EXPERT
Picea jezoensis;;Kunas;43.921358;145.689659;EXPERT
Picea jezoensis;;Kunas;43.997741;145.740556;EXPERT
Picea jezoensis;;Kunas;44.114076;145.76631;EXPERT
Picea jezoensis;;Kunas;44.151024;145.844065;EXPERT
Picea jezoensis;;Kunas;44.159603;145.916991;EXPERT
Picea jezoensis;;Shik;43.854506;146.83626;EXPERT
Picea jezoensis;;Shik;43.807993;146.651885;EXPERT
Picea jezoensis;;Shik;43.835163;146.898965;EXPERT
Picea jezoensis;;Shik;43.779375;146.769744;EXPERT
Picea jezoensis;;Shik;43.730892;146.645472;EXPERT
Picea jezoensis;;RU;52.48001727;134.3899676;VBGI
Picea jezoensis;;RU;56.44874341;138.1989137;VBGI
Picea jezoensis;;RU;55.70998814;130.7977338;VBGI
Picea jezoensis;;RU;49.80255768;130.0048558;VBGI
Picea jezoensis;;RU;49.01812878;139.830878;VBGI
Picea jezoensis;;RU;48.25920022;135.2051277;VBGI
Picea jezoensis;;RU;48.26102876;135.1975746;VBGI
Picea jezoensis;;RU;47.981556;139.541809;VBGI
Picea jezoensis;;RU;55.19519234;135.5542985;VBGI
