species;State;latitude;longitude;Data
Pinus koraiensis;;43.60028;134.30083;GBIF
Pinus koraiensis;;43.77812;132.92430;GBIF
Pinus koraiensis;;43.14947;132.68856;GBIF
Pinus koraiensis;;48.89522;131.16737;GBIF
Pinus koraiensis;;43.18585;134.26003;GBIF
Pinus koraiensis;;44.06379;134.14933;GBIF
Pinus koraiensis;;46.56524;134.67477;GBIF
Pinus koraiensis;;42.86441;133.80689;GBIF
Pinus koraiensis;;44.58199;135.14272;GBIF
Pinus koraiensis;;42.90056;133.70024;GBIF
Pinus koraiensis;;43.22624;132.07564;GBIF
Pinus koraiensis;;48.60188;135.58480;GBIF
Pinus koraiensis;;43.22250;131.99570;GBIF
Pinus koraiensis;;43.22184;132.00297;GBIF
Pinus koraiensis;;43.21396;132.00777;GBIF
Pinus koraiensis;;50.28505;134.70760;GBIF
Pinus koraiensis;;50.48248;137.09087;GBIF
Pinus koraiensis;;48.58060;130.64683;GBIF
Pinus koraiensis;;47.98404;139.53004;GBIF
Pinus koraiensis;;43.49759;131.55366;GBIF
Pinus koraiensis;;42.83080;132.99665;GBIF
Pinus koraiensis;;43.17479;132.88263;GBIF
Pinus koraiensis;;43.03443;133.70947;GBIF
Pinus koraiensis;;48.59470;130.60539;GBIF
Pinus koraiensis;;50.28505;134.70760;GBIF
Pinus koraiensis;;45.02160;135.93390;GBIF
Pinus koraiensis;;45.08160;135.89080;GBIF
Pinus koraiensis;;45.10820;135.87080;GBIF
Pinus koraiensis;;45.13070;135.86380;GBIF
Pinus koraiensis;;45.10790;136.43280;GBIF
Pinus koraiensis;;45.14250;136.35590;GBIF
Pinus koraiensis;;45.14380;136.29360;GBIF
Pinus koraiensis;;45.15840;136.25470;GBIF
Pinus koraiensis;;45.18120;136.05270;GBIF
Pinus koraiensis;;45.18360;136.04430;GBIF
Pinus koraiensis;;45.78980;135.12290;GBIF
Pinus koraiensis;;45.81330;135.24590;GBIF
Pinus koraiensis;;45.79490;135.29180;GBIF
Pinus koraiensis;;42.86340;133.80710;GBIF
Pinus koraiensis;;43.58700;133.39220;GBIF
Pinus koraiensis;;44.30430;133.71240;GBIF
Pinus koraiensis;;44.11620;133.99590;GBIF
Pinus koraiensis;;43.71830;133.88100;GBIF
Pinus koraiensis;;43.73640;133.87530;GBIF
Pinus koraiensis;;43.58830;134.16514;GBIF
Pinus koraiensis;;43.63640;134.18880;GBIF
Pinus koraiensis;;43.65760;134.39150;GBIF
Pinus koraiensis;;43.57790;134.62340;GBIF
Pinus koraiensis;;43.28730;131.60150;GBIF
Pinus koraiensis;;43.34590;131.60790;GBIF
Pinus koraiensis;;43.08150;132.69860;GBIF
Pinus koraiensis;;43.09510;132.70120;GBIF
Pinus koraiensis;;43.11300;132.71060;GBIF
Pinus koraiensis;;43.11920;132.70290;GBIF
Pinus koraiensis;;43.22080;131.99460;GBIF
Pinus koraiensis;;43.22070;131.98580;GBIF
Pinus koraiensis;;43.22160;132.03700;GBIF
Pinus koraiensis;;43.19690;132.03490;GBIF
Pinus koraiensis;;43.25350;132.15890;GBIF
Pinus koraiensis;;43.63380;132.41350;GBIF
Pinus koraiensis;;43.62790;132.38360;GBIF
Pinus koraiensis;;43.64380;132.43720;GBIF
Pinus koraiensis;;43.60520;132.39230;GBIF
Pinus koraiensis;;43.71890;132.54500;GBIF
Pinus koraiensis;;45.77400;135.42900;GBIF
Pinus koraiensis;;45.76800;135.43700;GBIF
Pinus koraiensis;;45.75900;135.44600;GBIF
Pinus koraiensis;;45.77800;135.42300;GBIF
Pinus koraiensis;;45.80000;135.32900;GBIF
Pinus koraiensis;;45.81700;135.44700;GBIF
Pinus koraiensis;;45.81100;135.60000;GBIF
Pinus koraiensis;;45.80700;135.57900;GBIF
Pinus koraiensis;;45.86400;135.78100;GBIF
Pinus koraiensis;;45.78100;135.66800;GBIF
Pinus koraiensis;;45.80900;135.67800;GBIF
Pinus koraiensis;;45.78400;135.46200;GBIF
Pinus koraiensis;;45.76400;135.44200;GBIF
Pinus koraiensis;;45.77300;135.46300;GBIF
Pinus koraiensis;;45.79000;135.29700;GBIF
Pinus koraiensis;;45.81900;135.30100;GBIF
Pinus koraiensis;;45.78400;135.41500;GBIF
Pinus koraiensis;;45.75100;135.45000;GBIF
Pinus koraiensis;;45.74300;135.34800;GBIF
Pinus koraiensis;;45.77900;135.31800;GBIF
Pinus koraiensis;;46.48800;135.49000;GBIF
Pinus koraiensis;;46.51300;135.50100;GBIF
Pinus koraiensis;;46.44500;135.45700;GBIF
Pinus koraiensis;;46.44900;135.44700;GBIF
Pinus koraiensis;;46.45600;135.45400;GBIF
Pinus koraiensis;;46.46900;135.55800;GBIF
Pinus koraiensis;;46.45300;135.45900;GBIF
Pinus koraiensis;;45.39200;136.50600;GBIF
Pinus koraiensis;;45.39400;136.50800;GBIF
Pinus koraiensis;;45.39400;136.51400;GBIF
Pinus koraiensis;;45.39700;136.52600;GBIF
Pinus koraiensis;;45.41600;136.51200;GBIF
Pinus koraiensis;;45.39400;136.51300;GBIF
